80,0.69575,0.00762,0.30048,0.00897
74.68108,0.63775,0.00987,0.97741,0.0653
69.18919,0.57687,0.0106,1.03222,0.07559
63.78378,0.50766,0.00993,1.02871,0.0685
58.37838,0.44815,0.01168,1.31625,0.09285
52.97297,0.37168,0.00862,2.31317,0.12491
47.56757,0.29239,0.00678,7.53936,0.28347
42.16216,0.21594,0.00619,18.62682,0.52842
36.75676,0.15307,0.00414,42.18585,1.10781
31.35135,0.09868,0.00201,86.20923,1.8543
25.94595,0.04751,0.00117,144.71971,3.36445
20.54054,0.01942,5.95E-04,202.58454,4.89065
15.13514,0.01715,5.98E-04,218.00416,8.97809
9.72973,0.01,2.95E-04,150.03862,7.43832
4.32432,0.00667,1.60E-04,26.18145,2.33166
0,0.00885,3.46E-04,1.04523,0.08485
